round,agent_id,move,payoff,q_cooperate,q_defect
15,9,cooperate,0.47368421052631576,,
15,10,cooperate,0.3157894736842105,,
15,11,cooperate,0.47368421052631576,,
15,12,defect,1.631578947368421,,
15,13,cooperate,0.3157894736842105,,
15,14,defect,1.631578947368421,3.952152602746123,7.5879115579079235
15,15,defect,1.631578947368421,3.6566889381367242,7.802249676477665
15,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
15,17,defect,1.631578947368421,4.27393650269984,7.73626465918886
15,18,defect,1.4210526315789473,,
15,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
16,0,defect,1.631578947368421,,
16,1,cooperate,0.15789473684210525,,
16,2,defect,1.0,,
16,3,defect,1.4210526315789473,,
16,4,defect,1.631578947368421,,
16,5,defect,1.631578947368421,,
16,6,defect,2.052631578947368,,
16,7,cooperate,0.0,,
16,8,defect,1.2105263157894737,,
16,9,defect,1.2105263157894737,,
